"flag","Domain","2nd domain","A Record","MX Record","Domain crated","Domain expired","Company owner","Intelligence Alliance","Jurisdiction 
(based on server location)","Site description","ToS","Privacy policy","Email
(receive a verification link)","Phone
(receive s sms code)","Price","Personal Info
(first name, last name, adress, etc..)","Note"
" 🇨🇭","protonmail.ch","proton.me
protonmail.com
","185.70.42.45 | 🇨🇭 | Switzerland | AS62371 | Proton Technologies AG","mail.protonmail.ch |  🇨🇭 | Switzerland | AS62371 | Proton Technologies AG
mailsec.protonmail.ch |  🇨🇭 | Switzerland | AS62371 | Proton Technologies AG",2010-08-21,2026-08-21," 🇨🇭 Proton Technologies AG",," Switzerland","Proton Mail: Get a private, secure, and encrypted email account
Proton Mail is the world’s largest secure email service with, 
Over 100 million users.
Available on Web, iOS, Android, and desktop.
Protected by Swiss privacy law.","Illegal actions (CSAM, spam, hacking), IP violation, insults, self-referrals, fraud
Collect per Privacy Policy, store without guarantees, delete inactive accounts (12 mos.), share upon authorities' request","Collect per Privacy Policy, store without guarantees, delete inactive accounts (12 mos.), share upon authorities' request","yes","optional","free; Unlimited $9.99/month","yes","Proton Mail is a secure email service with end-to-end encryption, created by the Swiss company Proton AG. It is suitable for registering on various services, collects user information, and shares data with authorities. For registration, it is recommended to use anti-detect browsers and clean mobile proxies."
" 🇧🇪","mailfence.com",,"217.182.28.160 | 🇧🇪 | Belgium | AS3356 | Level 3 Communications, Inc.","smtp1.mailfence.com | 🇧🇪 | Belgium | AS3356 | Level 3 Communications, Inc.",2012-12-01,2027-12-01,"🇧🇪 ContactOffice Group","Fourteen Eyes (👀 14)","Belgium","Secure and private email | Mailfence encrypted email service
Mailfence is the only secure and private email service that gives you control. A free, interoperable encrypted email service protected by Belgian privacy law.","Illegal actions (hacking, spam, phishing, porn, threats), IP violation, multiple accounts (>2), harassment, reselling without consent","Collect IP, email metadata (sender, recipient, subject, timestamps), external email, payment info. Store encrypted data, backups (45 days). Share only with Belgian authorities if legally required.","yes","no","free;Base $2.75/month; Entry $3.85/month","yes","Mailfence is a secure email service with end-to-end encryption, developed by the Belgian company ContactOffice Group SA. It is suitable for confidential correspondence, handling sensitive data, and protection against mass surveillance. Features include email encryption, no ads or tracking, and strict privacy under Belgian law. It collects a significant amount of user information; registration requires an existing, verified email address and the use of clean proxies. Hosted in Belgium. Suitable for registering on various services, but note that all subjects and emails are monitored."
" 🇩🇪"," tutanota.com","tuta.com
Tutamail.com
Tuta.io
Tutanota.de
Keemail.me","185.205.69.12 | 🇩🇪 | Germany | AS210909 | Tutao GmbH","mail.tutanota.de | 🇩🇪 | Germany | AS210909 | Tutao GmbH",2011-11-30,2025-11-30," 🇩🇪 Tutao GmbH","Fourteen Eyes (👀 14)","Germany","Join the Tuta community to spread privacy. | Tuta
Tuta will be the privacy-respecting alternative to Google with a calendar, notes, cloud storage - everything encrypted by default. Join us in bringing privacy to the world!","Illegal actions (assumed from GDPR), multiple free accounts (>1 per person), business use on free plan, inactivity (>6 months)","Collect email address, payment data (bank, credit card, PayPal), anonymized IP, logs (7 days). Store encrypted data, delete after 30 days. Share payment data with providers (PayPal, Braintree), legal requests only.","no","no","Free; Revolutionary €3/month; Legend €8/month","no","Tutanota is a secure email service with end-to-end encryption, developed by the German company Tutao GmbH, focused on privacy and security. It’s ideal for anonymous communication, storing contacts and calendars, and protecting data from surveillance. Key features: full data encryption (email, calendar, contacts), no tracking, minimal data collection, and servers in Germany under strict GDPR compliance. Tutanota offers top-tier privacy with end-to-end encryption, ensuring even developers can’t access your data. For anonymity, no phone or external email is required for signup, IP addresses aren’t logged by default, and email headers are stripped of metadata, making it great for concealing your identity."
" 🇫🇷","mailo.com","netcourrier.com
netc.fr
francemel.fr
emailasso.net
lavache.com
Monemail.com","213.182.54.18 | 🇫🇷 | France | AS8304 | Ecritel SASU | Mailobject","mx.mailo.com | 🇫🇷 | France | AS8304 | Ecritel SASU | Mailobject",2001-03-05,2026-03-05," 🇫🇷  Mail Object","Nine Eyes (👀 9)","France","Mailo","Illegal actions (spam, hacking, harassment, IP theft), multiple free accounts for 3rd-party registration, automation, business use on free plan","Collect email, personal info (name, DOB, optional), IP logs (1 month), payment data, content (encrypted). Store in France, delete after 1 month post-account closure. Share with payment providers (Verifone/Paybox, Mobiyo), Gandi (domains), legal requests only.","yes","Yes","Free; Premium €1/month","yes","Mailo is a European email service by French company Mail Object, offering email, calendar, storage, and chat. It suits personal use, families (with Mailo Junior for kids), and professionals on paid plans. Security & Anonymity: Features SSL encryption and antispam, but lacks end-to-end encryption, limiting security. Anonymity is weak: requires personal data (DOB), logs IPs (1 month), and blocks third-party validation emails on free accounts. Usage: Sign up on mailo.com with name, DOB, and password; access via web, apps, or IMAP/SMTP. Multi-accounts need paid plans and proxies due to automation bans. Decent for basic communication and family features, but lags in anonymity and security compared to Proton Mail or Tutanota."
"🇺🇸","mail.com",,"82.165.229.87 | 🇩🇪 | Germany | AS8560 | IONOS SE","mx00.mail.com | 🇺🇸 | United States | AS8560 | IONOS SE
Mx01.mail.com | 🇺🇸 | United States | AS8560 | IONOS SE",1997-03-24,2025-03-25,"🇺🇸 1&1 Mail & Media Inc.","Five Eyes (👀 5)","United States","Free email accounts with mail.com | Log in here or register today
The right email address for you ✔ Secure ✔ 100+ domain names ✔ Up to 10 mail addresses ✔ Sync across devices ✔ 65GB email storage ✔ Sign up today!","Illegal actions (spam, phishing, IP theft), reselling services, excessive usage, under 16 without consent, inactivity (>6 months, free accounts)","Collect name, gender, DOB, address, email, phone, payment info, IP logs, usage data, cookies. Store in US indefinitely. Share with affiliates, 3rd parties (ads, analytics), legal requests.","Yes","Yes","Free","Yes","Mail.com is an American email service by 1&1 Mail & Media Inc., offering unique email addresses, cloud storage, and basic organizer features. It’s suitable for everyday communication, file storage, and casual use. Security & Anonymity: It uses SSL encryption for data transmission but lacks end-to-end encryption, reducing content privacy. Anonymity is limited: requires personal data (name, DOB) at signup, logs IPs, and shares info with third parties for ads, making it unsuitable for privacy-focused users. Mail.com works well for simple personal or temporary needs but falls short in security and anonymity compared to services like Proton Mail or Tutanota."
" 🇨🇭","swissmail.org","swissmail.org
email.org
email.ch
email.li
generalmail.com
generalmail.net
generalmail.ch
generalmail.de
Generalmail.at","212.25.18.225 | 🇨🇭 | Switzerland | AS8758 | Iway AG","elba.iway.ch | 🇨🇭 | Switzerland | AS8758 | iway MailInfrastructure | Iway AG
Malta.iway.ch | 🇨🇭 | Switzerland | AS8758 | iway MailInfrastructure | Iway AG",2000-04-13,2025-04-13," 🇨🇭 Interway Network Systems AG (iWay AG)",,"Switzerland","Swissmail / swissmail.org - secure swiss e-mail service
","Illegal actions (spam, bulk mail), misuse of service, exceeding security limits without permission, IP infringement","Collect email content (encrypted), account access data (password-protected). Store in Switzerland, no personal analysis. No third-party sharing, only legal requests.","yes","no","Trial (8 day); Basic $2.20/month; Standard $4.40/month; Professional $6.10/month","no","Swissmail Box is a Swiss email service by Interway Network Systems AG, offering secure communication with features like aliases, mailing lists, and SMS reminders. It’s ideal for personal and business correspondence with a focus on privacy. Security & Anonymity: Employs end-to-end encryption, two-factor authentication, antivirus, and antispam. Data is stored solely in Switzerland under strict local privacy laws. Anonymity is strong: minimal personal data required, no content analysis, and no third-party sharing except for legal mandates. A great choice for those prioritizing security and privacy, perfect for confidential communication, business, or long-term use with its lifelong address guarantee."
" 🇩🇪","eclipso.eu","eclipso.eu
eclipso.de
eclipso.at
eclipso.be
eclipso.ch
eclipso.dk
eclipso.es
eclipso.it
eclipso.me
eclipso.nl
eclipso.uk
eclipso.email
eclipsomail.com
eclipsomail.de
Teamvielfalt.eu","217.69.254.102 | 🇩🇪 | Germany | AS16097 | HL komm Telekommunikations GmbH | HL Speedloc","mail.eclipso.de | 🇩🇪 | Germany | AS16097 | HL komm Telekommunikations GmbH | HL Speedloc",2008-03-25,,"🇩🇪 eclipso Mail Europe","Fourteen Eyes (👀 14)","Germany","eclipso Mail Europe. Privacy focused. Email & Cloud Provider.
Get your reliable and secure & european email address ✉ cloud storage ☁ and many other useful features. Register now.","Illegal actions (spam, porn, violence, discrimination), fake data, third-party service abuse, commercial use without permission","Collect email content (unencrypted), personal data (name, address, phone, DOB, IP, etc.), logs, cookies. Store in Germany. Share with ad partners, legal requests.","yes","no","Free; Connect €0.99/month; Premium €1.99/month; Business €4.99/month","yes","eclipso Mail Europe is a German email service operated by Claus-Peter Beringer, offering email, cloud storage (eclipso Drive), SMS, and additional features like fax sending. It’s suitable for everyday communication, data storage, and basic tasks. Security & Anonymity: Uses basic transmission encryption (SSL) but lacks end-to-end encryption, compromising email content security. Anonymity is weak: requires personal data at signup (name, address, phone), collects IPs, and shares data with ad partners (Google, Amazon). Logs and cookies are tracked, making it vulnerable to analysis. Fine for casual personal use or temporary needs, but not for confidential communication or privacy-focused users—lagging behind services like Proton Mail or Swissmail Box. Ads and poor data protection limit its appeal."
" 🇩🇪","skymail.de","skymail.de
skymail.at
maills.de
maills.ch
maills.net
Hemail.de","46.4.105.4 | 🇩🇪 | Germany | AS24940 | Hetzner Online GmbH","skymail.de | 🇩🇪 | Germany | AS24940 | Hetzner Online GmbH",,," 🇩🇪 Emailn.de — Freemail (Freemail.biz Media)","Fourteen Eyes (👀 14)","Germany","Kostenlose E-Mail – Skymail.de
Kostenlose E-Mail Adresse von Skymail. Jetzt anonym ohne Klarnamen einrichten und sicher mailen.","Illegal actions (spam, mass emails), violating German law, unauthorized account access by third parties","Collect IP, personal data (from registration/contact forms), usage data, cookies (with ads). Store in Germany. Share with ad partners (Refinery89), legal requests.","yes","optional","Free; 8,00 EUR; 15,90 EUR; 28,90 EUR","optional","skymail.de is a German email service by Emailn.de (Norbert Sehm), offering webmail with basic features. It includes a free ad-supported version and paid plans (ECO, ULTRA) without ads. Suitable for simple communication and basic tasks. Security & Anonymity: Uses SSL/TLS encryption for data transmission, but lacks end-to-end encryption, limiting content protection. Anonymity is low in the free version: IP addresses and personal data from registration are collected and shared with ad partners (Refinery89). Paid plans offer slightly more privacy by avoiding external cookies, but data is still stored in Germany and subject to legal disclosure. Good for casual personal use or temporary correspondence. The free version suits those unbothered by ads and minimal privacy; paid plans work for basic email without heavy tracking. Not for confidential purposes—falls short of Proton Mail or Swissmail in security."
" 🇩🇪","firemail.de","firemail.de
firemail.at
firemail.eu","188.40.70.221 | 🇩🇪 | Germany | AS24940 | Hetzner Online GmbH","mail.firemail.de | 🇩🇪 | Germany | AS24940 | Hetzner Online GmbH",,," 🇩🇪 Emailn.de — Freemail (Freemail.biz Media)","Fourteen Eyes (👀 14)","Germany","Firemail Freemail - Ihr kostenloser Freemail-Service
Kostenlose seriöse neue **Freemail-Adresse** und Freemail-Service von Firemail. Jetzt kostenlos neue anonyme Freemail-Adresse ohne Handynummer erstellen und sofort starten.","Spam, phishing, viruses, mass emails, violating German law, ad blockers, inactive accounts (720 days)","Collect IP, personal data (alt. email), usage data, cookies (ads version). Store in Germany (Hetzner). Share with ad partners (Refinery89), authorities if required.","yes","optional","Free; Base 6.00 EUR; Eco 12.00 EUR; Ultra 30.00 EUR","optional","Firemail.de is a German email service by Emailn.de (Norbert Sehm), offering webmail with a free ad-supported version and paid plans (ECO, ULTRA) without ads. It also supports POP3, IMAP, CalDAV, and CardDAV for backups. Suitable for basic correspondence and managing contacts/calendars. Security & Anonymity: Uses SSL/TLS for data transmission and offers two-factor authentication (2FA), but lacks end-to-end encryption, reducing content protection. Anonymity is minimal in the free version: IP, alternative email, usage data are collected and shared with ad partner Refinery89. Paid plans eliminate external cookies, but data is still stored in Germany and subject to legal disclosure. Good for simple personal use or temporary email. The free version suits those okay with ads and low privacy; paid plans work for basic tasks with slightly better protection. Not for confidential communication—lags behind Proton Mail or Tutanota in security and anonymity."
" 🇩🇪","emailn.de","emailn.de
emailn.eu
emailn.at
Emailn.ch ","46.182.20.122 | 🇩🇪 | Germany | AS43847 | Nbiserv Server Old | Martin Prager trading as ""NbIServ""","mail.firemail.de | 🇩🇪 | Germany | AS43847 | Nbiserv Server Old | Martin Prager trading as ""NbIServ""",,," 🇩🇪 Emailn.de — Freemail (Freemail.biz Media)","Fourteen Eyes (👀 14)","Germany","Freemail emailn.de: Kostenlose E-Mail Adresse
Freemail und Kostenlose E-Mail Adresse für jeden. Unbegrenzt Speicherplatz und top Funktionen. Jetzt gratis E-Mail Konto einrichten und sofort starten","Not explicitly detailed in provided privacy policy; typically governed by German law and site terms","Collect IP, personal data (from registration/contact forms), usage data, cookies (with ads). Store in Germany (NBIServ). Share with ad partners (Google AdSense, Pixfuture, Refinery89), legal requests, USA-based tools.","yes","optional","free","optional","Emailn.de is a German email service by Norbert Sehm, offering webmail with a free ad-supported version and likely paid options (though not specified in the provided data). It focuses on standard communication features, integrated with analytics and ad services. Suitable for basic correspondence and everyday tasks. Security & Anonymity: Employs SSL/TLS encryption for data transmission, providing basic connection security, but lacks end-to-end encryption, leaving content vulnerable. Anonymity is low: IP addresses, form data, and cookies are collected for ads (Google AdSense, Pixfuture, Refinery89) and shared with U.S.-based tools (WordPress Stats, Google), where data protection is weaker under EU standards. Data is stored in Germany (NBIServ) but can be disclosed to authorities upon request. Suitable for casual personal use, such as temporary correspondence or site registrations where privacy isn’t critical. Not for confidential purposes—falls short of Proton Mail or Tutanota due to poor anonymity and lack of full content protection. Ads and data sharing limit its appeal for security-conscious users."
